position_id,fen,engine,best_move,evaluation_cp,time_taken,nodes,depth_reached
6,rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 5,Stockfish,e8g8,-24,0.09069299697875977,94183,15
7,r3k2r/ppp2ppp/2n1bn2/2bpp3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 8,Stockfish,e4d5,682,0.015036582946777344,24657,15
8,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 6,Stockfish,e8g8,15,0.1670229434967041,172890,15
9,rnbqkb1r/ppp2ppp/3p1n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 5,Stockfish,f8e7,-16,0.16005945205688477,158527,15
10,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 5,Stockfish,f3g5,62,0.15430974960327148,145806,15
11,rnbqkb1r/pp3ppp/3ppn2/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 6,Stockfish,f1d3,266,0.03510451316833496,31175,15
12,rnbqkb1r/ppp2ppp/3p1n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 5,Stockfish,g7g6,10,0.04108071327209473,38479,15
13,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,Stockfish,f1e2,6,0.13246846199035645,139919,15
14,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,Stockfish,f6e4,62,0.04569077491760254,45094,15
15,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,Stockfish,g2g3,-8,0.24498891830444336,250230,15
16,rnbqk2r/pppp1ppp/4pn2/8/1b2P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,Stockfish,c2c3,66,0.1723799705505371,152333,15
17,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 0 5,Stockfish,d7d5,21,0.13935446739196777,116970,15
19,rnbq1rk1/pppp1ppp/4pn2/8/1b2P3/3P1N2/PPP2PPP/RNBQKB1R w KQ - 0 6,Stockfish,c2c3,62,0.09212589263916016,96614,15
20,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 6,Stockfish,e1g1,16,0.10979723930358887,109347,15
